"Year","State","State ANSI","Totals","Process Market","Fresh Market","Metric","Value","CV (%)"
2019,"MASSACHUSETTS","25","PRODUCTION","","","CWT",485,"33.3"
2019,"MASSACHUSETTS","25","SALES","","","$",NA,"35.4"
2019,"MASSACHUSETTS","25","SALES","","","CWT",485,"33.4"
2019,"MASSACHUSETTS","25","","","OPERATIONS WITH SALES","",14,"15.7"
2019,"MASSACHUSETTS","25","","","SALES","$",NA,"36.0"
2019,"MASSACHUSETTS","25","","","SALES","CWT",485,"33.8"
2019,"MICHIGAN","26","OPERATIONS WITH SALES","","","",30,"24.6"
2019,"MICHIGAN","26","PRODUCTION","","","CWT",435,"56.2"
2019,"MICHIGAN","26","SALES","","","$",NA,"(D)"
2019,"MICHIGAN","26","SALES","","","CWT",435,"56.2"
2019,"MICHIGAN","26","","","OPERATIONS WITH SALES","",30,"24.6"
2019,"MICHIGAN","26","","","SALES","$",NA,"(D)"
2019,"MICHIGAN","26","","","SALES","CWT",435,"56.2"
2019,"MINNESOTA","27","OPERATIONS WITH SALES","","","",13,"37.8"
2019,"MINNESOTA","27","PRODUCTION","","","CWT",73,"47.9"
2019,"MINNESOTA","27","SALES","","","$",NA,"55.0"
2019,"MINNESOTA","27","SALES","","","CWT",73,"47.9"
2019,"MINNESOTA","27","","","OPERATIONS WITH SALES","",13,"37.8"
2019,"MINNESOTA","27","","","SALES","$",NA,"55.0"
2019,"MINNESOTA","27","","","SALES","CWT",73,"47.9"
2019,"MISSOURI","29","OPERATIONS WITH SALES","","","",1,"24.6"
2019,"MISSOURI","29","PRODUCTION","","","CWT",NA,"(D)"
2019,"MISSOURI","29","SALES","","","$",NA,"(D)"
2019,"MISSOURI","29","SALES","","","CWT",NA,"(D)"
2019,"MISSOURI","29","","","OPERATIONS WITH SALES","",1,"24.6"
